Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,2,1,CFD-WF-003-003-N_degraded.jpg,NaN,1,White,Female
1,2,1,CFD-WF-001-003-N_degraded.jpg,NaN,1,White,Female
1,2,1,CFD-WF-003-003-N_degraded.jpg,0.549983238997811,1,White,Female
1,2,1,CFD-BM-046-006-N_degraded.jpg,NaN,1,Black,Male
1,2,1,CFD-LF-222-147-N_degraded.jpg,NaN,1,Latino,Female
1,2,1,CFD-AF-236-145-N_degraded.jpg,0.735891134998383,0,Asian,Female
1,2,1,CFD-LF-222-147-N_degraded.jpg,0.784362238999165,1,Latino,Female
1,2,1,CFD-AF-228-173-N_degraded.jpg,NaN,1,Asian,Female
1,2,1,CFD-LF-222-147-N_degraded.jpg,0.646788288999232,1,Latino,Female
1,2,1,CFD-LF-207-198-N_degraded.jpg,NaN,1,Latino,Female
2,2,1,CFD-LF-224-176-N_degraded.jpg,NaN,1,Latino,Female
2,2,1,CFD-BM-234-172-N_degraded.jpg,NaN,1,Black,Male
2,2,1,CFD-LF-224-176-N_degraded.jpg,0.804531786998268,1,Latino,Female
2,2,1,CFD-AF-211-066-N_degraded.jpg,NaN,1,Asian,Female
2,2,1,CFD-BF-231-202-N_degraded.jpg,NaN,1,Black,Female
2,2,1,CFD-AF-211-066-N_degraded.jpg,0.769415497001319,1,Asian,Female
2,2,1,CFD-BF-231-202-N_degraded.jpg,0.657900310001423,1,Black,Female
2,2,1,CFD-AM-214-168-N_degraded.jpg,NaN,1,Asian,Male
2,2,1,CFD-WF-014-002-N_degraded.jpg,NaN,1,White,Female
2,2,1,CFD-BF-220-161-N_degraded.jpg,NaN,1,Black,Female
3,2,1,CFD-BF-204-189-N_degraded.jpg,NaN,1,Black,Female
3,2,1,CFD-LM-212-143-N_degraded.jpg,NaN,1,Latino,Male
3,2,1,CFD-BF-204-189-N_degraded.jpg,0.576461528002255,1,Black,Female
3,2,1,CFD-LM-224-162-N_degraded.jpg,NaN,1,Latino,Male
3,2,1,CFD-LM-246-087-N_degraded.jpg,NaN,1,Latino,Male
3,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male
3,2,1,CFD-AF-238-185-N_degraded.jpg,NaN,1,Asian,Female
3,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,0,Black,Male
3,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male
3,2,1,CFD-AM-239-147-N_degraded.jpg,NaN,1,Asian,Male
4,2,1,CFD-LF-213-079-N_degraded.jpg,NaN,1,Latino,Female
4,2,1,CFD-WM-255-219-N_degraded.jpg,NaN,1,White,Male
4,2,1,CFD-AF-236-145-N_degraded.jpg,NaN,1,Asian,Female
4,2,1,CFD-BM-224-073-N_degraded.jpg,NaN,1,Black,Male
4,2,1,CFD-AF-246-242-N_degraded.jpg,NaN,1,Asian,Female
4,2,1,CFD-BM-224-073-N_degraded.jpg,0.663149677999172,1,Black,Male
4,2,1,CFD-AF-246-242-N_degraded.jpg,NaN,0,Asian,Female
4,2,1,CFD-WM-034-030-N_degraded.jpg,NaN,1,White,Male
4,2,1,CFD-AF-246-242-N_degraded.jpg,0.683718349002447,1,Asian,Female
4,2,1,CFD-AF-201-060-N_degraded.jpg,NaN,1,Asian,Female
5,2,1,CFD-AF-239-171-N_degraded.jpg,NaN,1,Asian,Female
5,2,1,CFD-BM-208-065-N_degraded.jpg,NaN,1,Black,Male
5,2,1,CFD-AF-239-171-N_degraded.jpg,0.717709536998882,1,Asian,Female
5,2,1,CFD-AF-239-171-N_degraded.jpg,NaN,1,Asian,Female
5,2,1,CFD-BF-203-184-N_degraded.jpg,NaN,1,Black,Female
5,2,1,CFD-BM-208-065-N_degraded.jpg,0.757734357001027,0,Black,Male
5,2,1,CFD-WF-018-017-N_degraded.jpg,NaN,1,White,Female
5,2,1,CFD-BM-218-132-N_degraded.jpg,NaN,1,Black,Male
5,2,1,CFD-WM-012-001-N_degraded.jpg,NaN,1,White,Male
5,2,1,CFD-AM-221-184-N_degraded.jpg,NaN,1,Asian,Male
6,2,1,CFD-WF-214-122-N_degraded.jpg,NaN,1,White,Female
6,2,1,CFD-LF-228-125-N_degraded.jpg,NaN,1,Latino,Female
6,2,1,CFD-WF-214-122-N_degraded.jpg,NaN,0,White,Female
6,2,1,CFD-LF-216-121-N_degraded.jpg,NaN,1,Latino,Female
6,2,1,CFD-AM-208-143-N_degraded.jpg,NaN,1,Asian,Male
6,2,1,CFD-LF-216-121-N_degraded.jpg,0.779579180001747,1,Latino,Female
